season,game_id,home_team,away_team,neutral_site,home_score,away_score,pred_home_score,pred_away_score,prob_winner,prob_spread,prob_total,total_error,spread_error,home_error,away_error
2014,400548380,South Carolina,Missouri,False,20,21,15.2036,12.5531,0.4731,0.9260,0.7362,13.2433,3.6505,4.7964,8.4469
2014,400548375,Kentucky,South Carolina,False,45,38,17.5182,21.9776,0.4590,0.7914,0.3154,43.5042,11.4593,27.4818,16.0224
2014,400548356,Auburn,South Carolina,False,42,35,15.8050,21.8106,0.4379,0.7349,0.3051,39.3844,13.0055,26.1950,13.1894
2014,400548352,South Carolina,Tennessee,False,42,45,11.8526,15.1107,0.5332,0.9947,0.1242,60.0367,0.2581,30.1474,29.8893
2014,400548339,Florida,South Carolina,False,20,23,20.0538,10.8318,0.4031,0.7451,0.7473,12.1144,12.2220,0.0538,12.1682
2014,400548333,South Carolina,South Alabama,False,37,12,17.6979,26.2560,0.4152,0.4010,0.8995,5.0461,33.5581,19.3021,14.2560
2014,400547750,Clemson,South Carolina,False,35,17,20.7802,15.0009,0.5631,0.7369,0.6556,16.2190,12.2207,14.2198,1.9991
2015,400603840,South Carolina,North Carolina,True,17,13,17.0931,21.6446,0.4583,0.8440,0.8406,8.7377,8.5515,0.0931,8.6446
2015,400603867,South Carolina,Kentucky,False,22,26,16.5161,16.8855,0.5043,0.9164,0.6729,14.5984,3.6306,5.4839,9.1145
2015,400603852,Georgia,South Carolina,False,52,20,21.9628,11.9298,0.6260,0.4819,0.2225,38.1074,21.9671,30.0372,8.0702
2015,400603848,South Carolina,UCF,False,31,14,23.2148,11.1442,0.6389,0.8846,0.7540,10.6410,4.9295,7.7852,2.8558
2015,400603883,Missouri,South Carolina,False,24,10,17.5955,12.4882,0.5622,0.7853,0.9045,3.9162,8.8927,6.4045,2.4882
2015,400603903,LSU,South Carolina,False,45,24,21.3025,11.4212,0.6064,0.7614,0.3218,36.2763,11.1188,23.6975,12.5788
